City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Plerin,FR,2021-07-11 23:16:38,48.5425,-2.7798,59.32,87,75,1.99
1,Kodiak,US,2021-07-11 23:16:39,57.79,-152.4072,51.31,82,90,17.27
2,Nhulunbuy,AU,2021-07-11 23:16:39,-12.2333,136.7667,75.81,94,40,8.05
3,Rikitea,PF,2021-07-11 23:16:39,-23.1203,-134.9692,73.71,82,44,21.63
4,Vostok,RU,2021-07-11 23:16:40,46.4856,135.8833,71.1,78,99,1.54
5,Tasiilaq,GL,2021-07-11 23:16:40,65.6145,-37.6368,46.56,99,100,8.32
6,Pacsa,HU,2021-07-11 23:16:41,46.7198,17.014,65.59,88,75,11.5
7,Wonthaggi,AU,2021-07-11 23:16:41,-38.6044,145.5913,55.06,77,100,11.97
8,Isangel,VU,2021-07-11 23:16:41,-19.55,169.2667,78.91,83,75,5.75
9,Mataura,NZ,2021-07-11 23:16:42,-46.1927,168.8643,39.76,82,100,3.04
10,Krasnyy Kut,RU,2021-07-11 23:16:42,50.95,46.9667,64.9,57,0,9.8
11,Ushuaia,AR,2021-07-11 23:16:42,-54.8,-68.3,33.46,86,40,25.32
12,Lamar,US,2021-07-11 23:16:43,33.6668,-95.5836,89.53,60,40,3.44
13,Padang,ID,2021-07-11 23:16:43,-0.9492,100.3543,77.63,87,98,4.47
14,Duncan,US,2021-07-11 23:16:43,34.5023,-97.9578,89.49,47,1,8.05
15,Ligaya,PH,2021-07-11 23:16:43,12.6599,120.8923,82.76,74,52,2.08
16,Touros,BR,2021-07-11 23:16:44,-5.1989,-35.4608,77.9,80,2,13.53
17,Upata,VE,2021-07-11 23:16:44,8.0086,-62.3989,75.15,81,70,4.79
18,Hollins,US,2021-07-11 23:16:44,37.3413,-79.9431,86.97,68,40,9.22
19,Kapaa,US,2021-07-11 23:16:45,22.0752,-159.319,84.52,73,1,5.01
20,Arraial Do Cabo,BR,2021-07-11 23:16:45,-22.9661,-42.0278,69.91,81,0,6.31
21,Jamestown,US,2021-07-11 23:16:28,42.097,-79.2353,69.3,97,90,7.0
22,Qaanaaq,GL,2021-07-11 23:16:46,77.484,-69.3632,38.93,66,59,2.48
23,Nikolskoye,RU,2021-07-11 23:16:46,59.7035,30.7861,69.78,86,2,4.47
24,Airai,TL,2021-07-11 23:16:46,-8.9266,125.4092,58.68,51,98,4.18
25,Pangnirtung,CA,2021-07-11 23:16:47,66.1451,-65.7125,56.52,51,30,4.56
26,Kadhan,PK,2021-07-11 23:16:47,24.481,68.9859,82.83,81,100,13.62
27,Jiutai,CN,2021-07-11 23:16:47,44.1525,125.8328,77.34,86,85,7.05
28,Hasaki,JP,2021-07-11 23:16:48,35.7333,140.8333,79.2,80,60,5.5
